id,published_at,views,likes,dislikes,comments,length
O0LdTjxTCWU,2013-01-21T09:52:41Z,5363,30,0,0,PT3M24S
mpZ5chCpnng,2013-06-17T22:50:57Z,5048,26,0,10,PT4M15S
U2w3MpYXS0M,2013-01-07T10:22:35Z,5534,42,0,0,PT3M55S
WmLdqQ_oHY4,2013-12-14T13:19:25Z,63998,587,0,143,PT8M2S
F0I3RyCGeP0,2013-01-31T11:00:49Z,29296,322,0,94,PT4M50S
Hs5NnUC2JtY,2013-01-25T12:00:46Z,10169,142,0,36,PT3M43S
63o36KdQ19c,2013-10-26T12:53:53Z,52003,645,0,151,PT4M21S
O0LdTjxTCWU,2013-01-21T09:52:41Z,5363,30,0,0,PT3M24S
mpZ5chCpnng,2013-06-17T22:50:57Z,5048,26,0,10,PT4M15S
U2w3MpYXS0M,2013-01-07T10:22:35Z,5534,42,0,0,PT3M55S
WmLdqQ_oHY4,2013-12-14T13:19:25Z,63998,587,0,143,PT8M2S
F0I3RyCGeP0,2013-01-31T11:00:49Z,29296,322,0,94,PT4M50S
Hs5NnUC2JtY,2013-01-25T12:00:46Z,10169,142,0,36,PT3M43S
VR0LgXfy6eA,2013-05-02T22:12:33Z,57335,541,0,99,PT15M53S
Zx4mNavgoV8,2013-02-25T09:26:11Z,23520,216,0,5,PT2M34S
EB_ccH738tQ,2013-12-26T18:21:11Z,22734,167,0,0,PT3M30S
pM489IjTJ8c,2013-04-13T10:25:59Z,2156468,14310,0,845,PT2H22M33S
MZE8f33K__8,2013-06-22T21:01:30Z,9636,139,0,5,PT5M20S
DFTulazZFEQ,2013-03-18T08:34:49Z,20539,176,0,0,PT3M37S
9_1FXqA9JZY,2013-06-17T11:08:41Z,242,4,0,0,PT1H7M13S
uX2HOyOz4YE,2013-08-16T11:01:24Z,710,37,0,13,PT40S
N7GTBRWJHiA,2013-06-10T19:00:34Z,15674,113,0,2,PT3M10S
zexskHmyw3w,2013-09-07T22:31:57Z,297675,6177,0,1951,PT10M34S
lcIBq9ieXBA,2013-02-04T05:51:26Z,35547,70,0,1,PT20M42S
ZggdnWjuRJI,2013-08-30T03:30:11Z,1072,8,0,7,PT5M58S
2B2AjQhRRb0,2013-12-28T04:00:00Z,883113,16954,0,1037,PT10M23S
CBWT-yzLlU8,2013-11-15T17:30:01Z,236992,3059,0,345,PT7M38S
um6vvJ5FOc0,2013-07-26T04:52:35Z,685,19,0,1,PT4M35S
BNIb_FUQ_Xc,2013-07-25T01:05:15Z,518,2,0,0,PT16S
7r8o3FlcdAA,2013-07-30T09:43:24Z,1062,1,0,0,PT51S
mHHN1f88Kdc,2013-06-27T04:38:59Z,1022,14,0,0,PT37S
HmcXO1S9bIk,2013-04-16T16:33:39Z,684,5,0,0,PT24S
1lJ-Q4Rn1Ig,2013-12-28T04:52:30Z,54628,547,0,12,PT14M9S
Qf_VBwsdRhc,2013-05-08T23:46:54Z,606,18,0,4,PT50S
atz_i07eDmk,2013-01-03T06:32:28Z,135058,209,0,0,PT1H18M11S
3SM4u0bOlJk,2013-01-29T01:09:30Z,1330,40,0,3,PT4M9S
BPFeNJA-w5A,2013-12-15T16:29:06Z,26755,198,0,124,PT8M10S
1lJ-Q4Rn1Ig,2013-12-28T04:52:30Z,54628,547,0,12,PT14M9S
atz_i07eDmk,2013-01-03T06:32:28Z,135058,209,0,0,PT1H18M11S
um6vvJ5FOc0,2013-07-26T04:52:35Z,685,19,0,1,PT4M35S
hjo7f6DYXZw,2013-04-15T19:56:31Z,1331,18,0,1,PT5M8S
Qf_VBwsdRhc,2013-05-08T23:46:54Z,606,18,0,4,PT50S
BDiyZ2vqna8,2013-04-01T17:51:05Z,1034,5,0,0,PT10S
98-I4J9HJQI,2014-08-27T21:00:02Z,472815,5040,0,335,PT5M20S
PM79Epw_cp8,2014-06-04T12:24:17Z,6701944,124176,0,8742,PT4M
gch-KBzLLyg,2014-06-16T14:51:58Z,254454,18,0,2,PT31S
PscM5nn39y0,2014-08-15T17:49:10Z,386223,46,0,3,PT1M56S
B_02SdGwBv4,2014-04-22T20:41:51Z,8651,13,0,0,PT2M2S
h7L6CbOaIEg,2014-06-16T11:26:19Z,709445,12825,0,558,PT7M44S
wNUD3JeKcl4,2014-05-08T17:44:39Z,304652,9005,0,610,PT5M34S
5VolhQCqq9c,2014-09-03T18:29:18Z,2864,5,0,0,PT1M4S
3EVTUxJtiGk,2014-12-01T21:12:55Z,2181,13,0,0,PT2M4S
tRFt_bO8mIs,2014-12-04T14:01:00Z,229767,4334,0,256,PT3M29S
QQDXDMwUJiA,2014-09-03T18:20:17Z,5595,13,0,0,PT58S
kCoXkjWL0dQ,2014-03-24T14:10:24Z,1460,4,0,0,PT2M
wVXpHwgPHL0,2014-09-08T14:44:31Z,1062,3,0,0,PT2M35S
semyy_C-Nts,2014-09-15T21:40:05Z,277887,2228,0,45,PT3M35S
adgiFKJKHLc,2014-09-19T18:26:35Z,12694,61,0,0,PT3M36S
g4HJwLnPQAE,2014-09-03T18:38:40Z,7602,8,0,1,PT1M4S
rP1LeyN90D8,2014-09-03T18:26:47Z,1233,6,0,0,PT1M11S
-5j0EBDVHL8,2014-02-17T17:00:07Z,184068,2619,0,262,PT7M29S
yFZ_HAj7WuU,2014-07-23T16:11:10Z,2080,10,0,0,PT2M32S
XuI6N4OmNcw,2014-10-30T14:00:08Z,5427,13,0,0,PT2M46S
-5DMlABmcZ8,2014-05-16T02:18:04Z,1785,14,0,0,PT2M39S
Vsk9aVWY5nw,2014-02-04T07:18:10Z,334308,5163,0,500,PT3M21S
5FtUg5THk9Y,2014-09-24T01:09:36Z,698,25,0,3,PT40S
WIH-JoPCSiM,2014-07-22T04:49:28Z,12149,517,0,63,PT2M41S
iCj8WbLyhT0,2014-11-17T19:27:15Z,41895,255,0,5,PT49S
7dEe-wPe-FE,2014-08-01T19:00:12Z,304456,4794,0,394,PT1M38S
qwYDXwg4A7M,2014-03-17T19:45:00Z,258,20,0,1,PT2M13S
qP8aOWZU9wk,2014-04-12T06:50:08Z,160,13,0,1,PT30S
C5uR5tHq68Q,2014-11-08T02:33:39Z,1001,2,0,0,PT2M9S
x2mQYdyzpOI,2014-07-24T20:30:01Z,198762,4755,0,224,PT8M37S
3kydE9PW0H8,2014-10-10T17:34:01Z,1623492,1589,0,147,PT3M48S
618NtOqlGDc,2014-06-03T15:13:42Z,8852,28,0,4,PT2M29S
aqNw1nhZ-Xw,2014-02-24T01:59:22Z,507,27,0,3,PT4M42S
BMjTNbK_5bs,2014-10-03T23:43:05Z,213,13,0,0,PT33S
j7PfxbPaB8g,2014-12-19T20:42:37Z,25971,56,0,2,PT2M23S
3_SoFPd-WIk,2014-09-22T08:18:37Z,451107,313,0,30,PT1M37S
B6US_aeSQmY,2014-12-11T01:56:46Z,1349,28,0,0,PT6S
8zyF3r-3eG4,2014-03-25T20:42:18Z,111555,309,0,22,PT2M46S
fhI33a6rZLk,2014-10-19T06:22:44Z,1589,14,0,0,PT30S
RHDG_rZtX68,2014-01-22T17:57:47Z,316963,6707,0,297,PT3M34S
JX1ebvqMjOw,2014-02-16T23:13:47Z,100,2,0,0,PT2M42S
x4obljO19-s,2014-04-14T19:43:16Z,607,22,0,9,PT1M40S
TpW-3IUp3aI,2014-09-23T19:58:15Z,727796,13954,0,1314,PT3M
YrZBGnIeoMs,2014-02-02T07:25:56Z,5134,117,0,7,PT2M54S
