ID,Year,View Count,Length (s)
HIql3fyNc7s,2016,282912.0,846.0
zL2SBpJbfHk,2016,575605.0,436.0
14sL_KF943g,2016,132937.0,998.0
EpZ4T_hTzNM,2016,429798.0,491.0
_AKd115m3Cg,2016,217045.0,429.0
ZosO9bG4PqA,2016,251502.0,248.0
4zQjSnPQDpQ,2016,961782.0,697.0
p_ef4egLk3U,2016,327817.0,506.0
vOeh1vpDMnw,2016,219341.0,386.0
ReuweXgAx1M,2016,891875.0,790.0
7LwK8qssNLA,2016,6118.0,470.0
vtj_NxbBIWE,2016,460033.0,730.0
cL0eB4AClwE,2016,341908.0,507.0
90G9AvX_brI,2016,508151.0,208.0
NSQheb4UCbk,2016,813.0,1101.0
IkMB8j3QSvE,2016,813050.0,803.0
0K9Jc7YpHsA,2016,998482.0,845.0
b9VkB9udpfg,2016,600916.0,612.0
MPZiKq29jKQ,2016,231235.0,256.0
ip2O5A2-ses,2016,1327.0,31.0
S1yH7T3dCok,2016,654758.0,1143.0
DXn_lX09KKM,2016,9085.0,813.0
_XZcpidA8Ok,2016,305641.0,1079.0
EQw8RYrpmf0,2016,612132.0,676.0
RqYS5BfnYiw,2016,2467425.0,1109.0
HIL_kc8xnl0,2016,544991.0,841.0
r1eFuhKQ3Tc,2016,33284.0,762.0
6aQUfcrHUME,2016,57606453.0,523.0
PK8zzdh2h80,2016,1129314.0,226.0
-8WELAuW7_4,2016,50560.0,574.0
FTb6LIWirIw,2016,28901.0,367.0
UIE9gh8MD3w,2016,576379.0,704.0
ip2O5A2-ses,2016,1327.0,31.0
HgmyksLaccU,2016,79871.0,60.0
AyU6pcyqTsk,2016,120.0,3155.0
zI4XVEzUiFw,2016,251197.0,826.0
1mqolVHW84k,2016,1294442.0,572.0
JQNwQjjPvCE,2016,1524.0,50.0
L6l0xTHYBEA,2016,881.0,24.0
6U_IMCqs_mI,2016,778533.0,669.0
ZKTXB00-SXY,2016,241.0,3428.0
ksBoKljnt7E,2016,347624.0,947.0
pi_O03ySdac,2016,49929.0,331.0
So3MrIQXCm8,2016,274649.0,365.0
nMzDPL-1u88,2016,1309421.0,701.0
o327gPZA2x8,2016,709.0,54.0
TSrzHYqMdhg,2016,1570.0,31.0
tzCOMr7valM,2016,146329.0,592.0
eBH0KlxYbb0,2016,23859.0,211.0
G0KQ4pofsOs,2016,19754.0,209.0
pwyAHrm9j5A,2016,296709.0,250.0
I9gbqgJE7w0,2016,1878299.0,934.0
trm53Ov6E80,2016,490.0,193.0
Mpqo-joiY3c,2016,169578.0,408.0
SVrfZLD_K34,2016,7853.0,250.0
B-4zjMZev38,2016,676.0,526.0
6uOS0C0-DoU,2016,392074.0,710.0
feVZni33qCU,2016,2117716.0,835.0
j-OXrtQUIZI,2016,288862.0,1693.0
7wfDyMqbZMU,2016,4788.0,1857.0
rKITaW2dlC0,2016,27998.0,609.0
Aa7O2A2Y18I,2016,58547.0,605.0
454Zd51tzaY,2016,112149.0,295.0
ucw-lhtw3uI,2016,1124.0,29.0
PyZKrXbETWo,2016,127.0,31.0
LeGHfNds-aU,2016,169.0,31.0
y5bHIw1BVDU,2016,28824.0,127.0
XK1wdYOEzQo,2016,11995.0,251.0
gKggIn6sdls,2016,152266.0,342.0
UJNOA-5rRZg,2016,556.0,711.0
NlLUq5-SwV0,2016,9739.0,72.0
gKggIn6sdls,2016,152266.0,342.0
UJNOA-5rRZg,2016,556.0,711.0
YMbR1ukiUPc,2016,188980.0,1178.0
NlLUq5-SwV0,2016,9739.0,72.0
B1qGSBcF1-Y,2016,570.0,19.0
Yeu4cebEpeQ,2016,195136.0,699.0
QZG4gTyxyRE,2016,37833.0,209.0
IOdyFLflDj0,2016,33525.0,254.0
Ax2agrG5fo4,2016,539743.0,816.0
-GbGz70usW0,2016,14529.0,16.0
_OeVG9KE-HI,2016,14437.0,25.0
gjM_lo7SzLk,2016,127.0,12.0
PuNnhYgKXeg,2016,51.0,43.0
0plFZteoBOw,2016,61.0,33.0
EKRVILAohck,2017,181356.0,102.0
wvWpdrfoEv0,2017,2117080.0,143.0
Erp8IAUouus,2017,10995280.0,469.0
YqQx75OPRa0,2017,5976019.0,386.0
BGbNizFVz-I,2017,109971.0,294.0
OasbYWF4_S8,2017,3793764.0,220.0
moFHmUMDwgs,2017,50498.0,70.0
2LumF9U0_jc,2017,493606.0,27.0
Vv5fc7Nq5eQ,2017,172980.0,203.0
5dfv1sM0uYU,2017,3433.0,145.0
77tZS2E6uNk,2017,491225.0,188.0
fh68paAL29U,2017,4107235.0,321.0
5Vq8xHuey8s,2017,4558630.0,377.0
G2iPagShtmQ,2017,487273.0,768.0
bCKhtr3yCHU,2017,259374.0,318.0
jJOCHONeLmc,2017,816573.0,164.0
MgX_yEGf_Xk,2017,382726.0,582.0
380iex-nies,2017,7093504.0,333.0
R_WcOJ68TKk,2017,271330.0,31.0
mR-2y42Uig4,2017,383217.0,247.0
OQdC_hHlS7k,2017,75860.0,170.0
DiBxkD9qWxA,2017,589763.0,159.0
PcPLvbeYDRg,2017,8723175.0,824.0
61JoF5b3mlM,2017,2243011.0,683.0
