id,published_at,length,views
gibHLmD_ZvI,2013-06-28T04:00:39Z,PT44M47S,
4jQF_FUevhY,2013-09-26T07:50:15Z,PT21S,862.0
HZBoylVK51U,2013-11-11T08:10:32Z,PT21M3S,
1njCPgQ-BZ0,2013-12-16T05:12:22Z,PT23M5S,
LykKbtQC0Nw,2013-05-02T12:57:03Z,PT24M33S,
qrAovsyHLa8,2013-05-21T01:25:28Z,PT21M29S,
TM2Js2L9b_E,2013-03-06T01:30:25Z,PT22M57S,
770NuTYX0-I,2013-07-17T07:03:45Z,PT20M2S,
RSWcP7fRpJY,2013-04-03T05:00:25Z,PT42M38S,
GTDrOLzkTrM,2013-03-24T20:46:17Z,PT21M33S,
wdZjjXaD1Z4,2013-03-14T23:59:33Z,PT1H32M48S,
OdXK91L4RoE,2013-07-31T15:23:08Z,PT43M18S,
3iGjpwbwdM8,2013-10-09T07:10:41Z,PT43M2S,
3kcUpwujlOE,2013-11-25T05:13:14Z,PT55M,
BO5kbFt1Q2s,2013-04-06T20:56:17Z,PT9M3S,237967.0
gibHLmD_ZvI,2013-06-28T04:00:39Z,PT44M47S,
4jQF_FUevhY,2013-09-26T07:50:15Z,PT21S,862.0
2pniAKa3lfU,2013-06-29T07:50:21Z,PT22M4S,
T-t2OFoL4dE,2013-04-12T00:13:12Z,PT21M2S,
thWqreAj0QA,2013-06-13T11:42:22Z,PT2M,24681.0
qiB_qdFYH2U,2013-08-21T03:50:32Z,PT22M11S,
cXX1VvBRaNQ,2013-09-26T08:15:31Z,PT35S,417.0
nxbXSxCv2PM,2013-09-27T08:53:59Z,PT26S,323.0
YBhAmRrAJCA,2013-09-12T07:33:09Z,PT2H19M18S,
pM489IjTJ8c,2013-04-13T10:25:59Z,PT2H22M33S,2155315.0
JRfmWwciMGQ,2013-10-21T18:36:21Z,PT42M56S,
int3fI1YQjU,2013-07-24T11:24:41Z,PT1M19S,144230.0
ERFyHc8AeZ0,2013-09-29T23:04:20Z,PT2M28S,3087.0
OIcPjHtHyZo,2013-12-04T19:58:52Z,PT2M38S,6875.0
O5uiLZkVIXA,2013-07-23T04:40:39Z,PT43M33S,
C_z6Q_96LZo,2013-01-20T05:48:01Z,PT42S,745.0
tMIEC_cPB30,2013-06-15T08:25:56Z,PT1H53M18S,
I0sAc9IosWQ,2013-09-23T02:54:58Z,PT43M2S,
KT1UlytKtQU,2013-09-30T13:17:04Z,PT21S,389.0
A6KLL8JDa0E,2013-11-17T02:35:04Z,PT43S,1053.0
vz_HsQ1VOjM,2013-12-11T18:00:43Z,PT6M57S,175413.0
-xva6lwpYJI,2013-05-02T10:46:55Z,PT3M46S,4504.0
Q3woLhoupgg,2013-07-08T07:01:17Z,PT42M43S,
O87B6R6oL78,2013-09-21T10:52:02Z,PT1H30M32S,
bgWajV_BRvc,2013-06-11T01:06:25Z,PT4M52S,224096.0
zHtw-7z3S5k,2013-12-28T21:37:42Z,PT3M48S,3076.0
4S6AyUBLM9I,2013-02-18T08:02:39Z,PT3M39S,9592.0
FD2MroMsvdA,2013-07-06T11:13:24Z,PT7M7S,40768.0
O7h-eVGv2Zs,2013-06-20T19:35:21Z,PT43M44S,
1jiBRFJvPck,2013-03-27T23:55:57Z,PT2M52S,795.0
Fqzrpr2lgkY,2013-03-14T23:03:49Z,PT3M12S,2764.0
hwNhI4jCeOk,2013-11-26T10:40:58Z,PT12M,9359.0
O0LdTjxTCWU,2013-01-21T09:52:41Z,PT3M24S,5363.0
U2w3MpYXS0M,2013-01-07T10:22:35Z,PT3M55S,5534.0
86tgiWhwJA8,2013-08-27T07:24:21Z,PT1H51M51S,
WmLdqQ_oHY4,2013-12-14T13:19:25Z,PT8M2S,63988.0
OpHzv8ziIvk,2013-04-11T08:00:39Z,PT42M36S,
sDmyh9LEqhQ,2013-08-26T23:57:47Z,PT9M37S,9710.0
5w9mKiZSadA,2013-02-22T00:36:19Z,PT3M44S,2627.0
iA_X5gWAn_I,2013-01-30T14:19:05Z,PT40S,638.0
2b-r4O_hxMs,2013-08-03T05:00:38Z,PT49M31S,
plDd88cMkgE,2013-12-05T08:12:14Z,PT43M32S,
N7GTBRWJHiA,2013-06-10T19:00:34Z,PT3M10S,15671.0
bMNeAGDn1x4,2013-05-15T08:29:22Z,PT21M1S,26001.0
An4jHj7qXDo,2013-08-02T15:30:10Z,PT27M56S,319431.0
WKE4cUEGK1Q,2013-08-21T23:07:49Z,PT58M2S,
zaA0Nvc3ouw,2013-11-13T10:40:25Z,PT9S,966.0
lcIBq9ieXBA,2013-02-04T05:51:26Z,PT20M42S,35547.0
7pcILbuyKwo,2013-03-02T08:01:06Z,PT21M42S,
udNrdaXWopQ,2013-11-08T08:10:05Z,PT41M49S,
KjntcCXYcN8,2013-10-30T21:31:29Z,PT9M3S,415364.0
TpyZye5shdY,2013-03-09T21:57:42Z,PT51S,1099.0
bu6zIUKnI-Y,2013-04-05T21:35:20Z,PT45M38S,
-us91rnYxVM,2013-01-08T11:57:30Z,PT3M10S,2844.0
ieFnAq2SfXk,2013-10-07T04:10:39Z,PT54M,
fI0K5i77d9M,2013-06-10T03:50:20Z,PT20M53S,
QXW9wfOQV9k,2013-07-30T09:31:41Z,PT56S,1539.0
7r8o3FlcdAA,2013-07-30T09:43:24Z,PT51S,1062.0
mHHN1f88Kdc,2013-06-27T04:38:59Z,PT37S,1022.0
HmcXO1S9bIk,2013-04-16T16:33:39Z,PT24S,684.0
XqU4teWm4es,2013-09-30T18:23:32Z,PT3M39S,76.0
atz_i07eDmk,2013-01-03T06:32:28Z,PT1H18M11S,135056.0
x1fAtwW4_UI,2013-10-07T04:11:08Z,PT28M57S,
imFbonOQMwA,2013-05-13T09:02:06Z,PT42M50S,
CMeOyi4V58U,2013-10-28T17:46:55Z,PT21S,1267.0
0lBMWI1I1VM,2013-11-16T03:33:41Z,PT1H22M12S,
LDBRiMOFV8o,2013-08-11T07:01:20Z,PT43M34S,
i2trdV2qeWc,2013-02-12T03:42:10Z,PT44M5S,
XRVsfGqOzbI,2013-12-06T19:51:31Z,PT1H37M38S,
um6vvJ5FOc0,2013-07-26T04:52:35Z,PT4M35S,685.0
hjo7f6DYXZw,2013-04-15T19:56:31Z,PT5M8S,1331.0
IxrDehg3bsQ,2013-11-11T07:55:42Z,PT24M56S,
bWXIqq5aR_0,2013-11-11T07:55:17Z,PT29M48S,
Jt-OQr2Yo70,2013-02-23T04:11:41Z,PT1H58M13S,
4AsTww25bVM,2013-05-07T08:20:02Z,PT1H25M55S,
MiGPOMHcjwM,2013-01-29T09:24:28Z,PT51M49S,
r1a5RE7p0dk,2013-01-07T00:00:32Z,PT51M5S,
Qf_VBwsdRhc,2013-05-08T23:46:54Z,PT50S,606.0
BDiyZ2vqna8,2013-04-01T17:51:05Z,PT10S,1034.0
PM79Epw_cp8,2014-06-04T12:24:17Z,PT4M,6700171.0
B_02SdGwBv4,2014-04-22T20:41:51Z,PT2M2S,8648.0
5mMAGcZaItg,2014-08-04T14:09:37Z,PT4M19S,545670.0
-KEYShtGbJQ,2014-06-12T16:00:07Z,PT4M43S,167544.0
7ICWL_0kjDI,2014-07-18T18:23:54Z,PT3M23S,189625.0
