id,published_at,length,views
NokZC2a9YFo,2018-07-05T08:57:25Z,PT1M3S,N/A
EBo5ZfWjD7M,2018-08-20T04:00:34Z,PT41M19S,N/A
trrZQfXmj1g,2018-05-17T11:16:20Z,PT4M3S,29560292
FBJRMUdfi-A,2018-09-22T17:01:35Z,PT4M31S,1258153
HPJIn1OhPL0,2018-04-16T04:00:47Z,PT11M48S,N/A
CBCbVHFzfXk,2018-10-20T20:00:00Z,PT18M41S,352298
kOVCe668zEo,2018-01-27T10:00:02Z,PT36M13S,N/A
pnXCn41CFbc,2018-09-10T04:00:48Z,PT11M47S,N/A
bONF3B30LIk,2018-10-07T19:00:03Z,PT24M28S,1720
3LYhmn7qWIw,2018-05-08T19:30:53Z,PT4M44S,721615
QGchZK6jJm8,2018-06-01T07:00:01Z,PT42M14S,N/A
nvowEqa6GXk,2018-03-29T07:00:02Z,PT21M17S,N/A
5uSz7oWBlkE,2018-04-20T07:00:03Z,PT29M9S,N/A
jL-WNbRTaBI,2018-08-01T09:30:26Z,PT24M46S,N/A
gocSISZ0LXs,2018-11-30T17:48:11Z,PT1M36S,13778
6LP-DzyHqA4,2018-04-03T09:05:21Z,PT7M5S,374571
TVl82mXkPls,2018-01-12T03:12:02Z,PT7M26S,746872
m4LbkaBvM9c,2018-07-19T09:00:12Z,PT20M56S,N/A
Z7Dz46xfWtM,2018-05-02T15:33:49Z,PT4M37S,22388026
3GFIrTSr46I,2018-11-05T05:00:13Z,PT24M44S,N/A
LUORMA2NvmM,2018-03-29T02:05:02Z,PT6M1S,6716806
HwwdO1f987A,2018-04-01T04:01:33Z,PT40M28S,N/A
_lTa9IO4i_M,2018-03-31T08:10:10Z,PT1M51S,233574
GqJBDkwLdWc,2018-05-11T04:00:02Z,PT21M33S,N/A
Wsyvgd9W3M4,2018-08-16T04:00:20Z,PT22M38S,N/A
RSNXbxpZu1w,2018-05-21T21:24:35Z,PT1M43S,199755
NJ0ZO0bFH7I,2018-11-26T22:28:37Z,PT1M,414
lcMDtrmrRqs,2018-05-24T20:00:07Z,PT8M25S,476649
R41r940V4n8,2018-10-06T00:00:02Z,PT10M35S,228584
OrIe2_sAtWk,2018-08-23T17:36:06Z,PT29S,1998
QGwvqWi-zwc,2018-04-09T11:56:55Z,PT23S,726
3qzs54N-XEA,2018-09-18T14:40:54Z,PT35S,2256
cBpJghIN6bg,2018-01-24T08:01:10Z,PT42M7S,N/A
aJY8rUOILT8,2018-04-12T23:00:00Z,PT3M40S,35811
RDozbBDaOp8,2018-09-29T14:54:20Z,PT11M26S,273246
GUYG4hgqmEk,2018-08-22T17:38:03Z,PT3M47S,46693
huvfX-xsSsI,2018-12-08T21:45:45Z,PT3M33S,53734
VzvEcApmAcA,2018-09-05T12:24:29Z,PT4M17S,74754
5KQAH5uiPyE,2018-12-26T11:53:53Z,PT4M34S,43478
Do-6rmWIfGQ,2018-05-30T14:46:56Z,PT2M33S,3252
4LkMap3IQv4,2018-09-29T13:30:01Z,PT57M16S,3091
kYmzWgOoADE,2018-07-29T16:28:05Z,PT11M37S,298770
IdeU54GFM-c,2018-09-14T06:40:01Z,PT4M22S,1682
7zxX1vbX8GM,2018-12-05T20:58:25Z,PT2M52S,440
q9DjXj5IIvU,2018-06-07T14:36:45Z,PT4M16S,2396
41gSlV1L0rQ,2018-02-14T18:12:28Z,PT13M12S,283617
eZFY6GKG1Ew,2018-06-08T07:25:37Z,PT4M18S,474
iGkHvWyfTPA,2018-12-20T11:00:05Z,PT11M22S,459827
EFCU-qBLuKM,2018-04-27T07:02:18Z,PT4M58S,409599
oGM5tsKsjkc,2018-05-17T19:00:02Z,PT10M40S,1783297
CBCbVHFzfXk,2018-10-20T20:00:00Z,PT18M41S,352298
6zJnkFEoxJo,2018-03-27T20:00:01Z,PT10M9S,245791
fOdsDXT0M5Q,2018-06-16T17:48:30Z,PT14M38S,637854
o6oOXwjMF2Q,2018-10-01T17:00:07Z,PT25M3S,2623
7uTUTLxsbnU,2018-03-10T00:00:01Z,PT6M23S,678
zFDGONWdzxo,2018-10-06T02:18:47Z,PT7M27S,7149
DqJNotJTcao,2018-03-28T03:32:22Z,PT2M8S,104380
r8Jn5SCQkxA,2018-04-03T15:00:05Z,PT10M58S,175772
YFe4wXdRZWM,2018-11-23T07:00:05Z,PT13M39S,1305
l2fY28qX7CM,2018-10-13T03:19:08Z,PT43M46S,2722330
v2Q-58UhWWk,2018-12-25T17:00:07Z,PT11M9S,231979
xfgKjAAfRIs,2018-12-31T13:41:18Z,PT25M41S,40510
Z-hV_5-DIsw,2018-09-28T12:00:56Z,PT10M29S,234662
OdJ3wTalKso,2018-12-18T05:00:51Z,PT42M34S,N/A
Dc7xDUoIEGE,2018-02-12T08:00:23Z,PT21M43S,N/A
HtU9Nr5Rb9Q,2018-12-07T20:03:25Z,PT15S,14166
PiSD3US9yPo,2018-11-08T22:14:04Z,PT10M36S,11861
mYG1DA4vd-4,2018-08-29T19:00:06Z,PT17M19S,319889
4OKPlYHibnM,2018-12-13T09:46:57Z,PT25M20S,N/A
6Z2vcuHR0fg,2018-06-01T21:03:38Z,PT42S,2081
vtc9gr9aeY8,2018-06-22T16:51:09Z,PT38S,1275
B38_9B-mFTk,2018-10-22T13:45:00Z,PT6M32S,194122
WKmJM6E_Erw,2018-12-04T09:32:58Z,PT10S,2105
RsjdmfH6JdY,2018-12-26T18:47:48Z,PT15S,501
APjHSymry8M,2018-01-22T06:20:18Z,PT24S,758
6Z2vcuHR0fg,2018-06-01T21:03:38Z,PT42S,2081
vtc9gr9aeY8,2018-06-22T16:51:09Z,PT38S,1275
B38_9B-mFTk,2018-10-22T13:45:00Z,PT6M32S,194122
WKmJM6E_Erw,2018-12-04T09:32:58Z,PT10S,2105
RsjdmfH6JdY,2018-12-26T18:47:48Z,PT15S,501
APjHSymry8M,2018-01-22T06:20:18Z,PT24S,758
sC352-MGB_c,2018-10-12T16:57:03Z,PT16S,3176
ukOtVTo5dwk,2018-03-27T09:00:00Z,PT23M56S,N/A
5ec3nDNDzKA,2018-02-03T23:22:38Z,PT10M5S,6504
Qymiz_eGSjc,2018-07-05T01:54:40Z,PT1M45S,940
GlnokBpi7W8,2018-12-03T14:00:39Z,PT15S,3217
_-IRZcS0KUA,2018-04-28T09:46:27Z,PT10M33S,34174815
D9KBwpygcMo,2018-10-15T04:00:32Z,PT42M34S,N/A
abrc3mk0vho,2018-06-24T14:39:20Z,PT54S,90
X927uLjr-kI,2018-09-27T07:59:45Z,PT5M11S,484622
DbUaprLtkKQ,2018-06-10T15:15:42Z,PT23M37S,25877
gn7mgP-v1zA,2018-12-22T07:00:02Z,PT23M17S,22309
HABp-Sa_Zcw,2018-07-05T13:03:34Z,PT30M43S,131232
hXX8bXS6U2E,2018-10-31T10:00:05Z,PT23M28S,8769
dV4x2wU9Qro,2018-12-09T13:00:09Z,PT23M9S,94926
93I24BDhOeM,2018-09-22T10:03:12Z,PT9M,200786
gzgEx5UCRs0,2018-04-01T19:00:01Z,PT4M57S,11056
0Iy68S3I52o,2018-11-26T08:00:01Z,PT23M10S,7658
zEp37IR2MZs,2018-07-26T13:54:18Z,PT30S,357
j4Rc2VvyBUQ,2018-12-24T02:10:09Z,PT6M24S,68719
FR9uNBBD-Sg,2018-08-23T05:42:34Z,PT3M34S,1207774
Vb3bl5BhkNo,2018-03-04T17:08:08Z,PT59S,76658
YOGkc5ZotyE,2018-09-05T16:10:08Z,PT37S,4620
waJsOBDBPyw,2018-10-16T22:25:26Z,PT17S,109
uRDGzy4woh4,2018-01-12T21:51:01Z,PT58S,2151
rks1LKyeXw4,2018-12-27T14:00:07Z,PT58S,17999
Ppr9VTdzGeI,2018-03-01T05:16:47Z,PT1H54M,179335
OuZtWOo98Fg,2018-04-02T03:00:00Z,PT7M48S,9248914
